,监测点编码,监测点名称,城市,经度,纬度
1229,2515A,政协大楼,贺州,111.5622,24.4072
1230,3589A,雄县国土资源局,雄安新区,116.1105,39.0046
1231,1661A,港务局,日照,119.54,35.3962
1232,2461A,真空机电公司,衡阳,112.5664,26.9056
1233,1207A,莲花,泰州,119.9219,32.4611
1234,1281A,快安,福州,119.414,26.0258
1235,2007A,燕山子站,溧阳,119.438,31.317
1236,3659A,气象局,金华,119.656,29.1131
1237,1153A,山西路,南京,118.778,32.0723
1238,1405A,仙葫,南宁,108.439,22.7906
1239,2479A,零陵区环保局,永州,111.6236,26.2331
1240,1731A,长治八中,长治,113.0844444,36.1855
1241,1877A,河西子站,三亚,109.4964,18.2681
1242,1025A,航天路,天津,117.401,39.124
1243,3014A,歇台子,重庆,106.4959,29.53675
1244,3340A,伊滨,洛阳,112.6005,34.6326
1245,2677A,教育园区,吴忠,106.1532,37.9648
1246,2929A,红卫路,黄冈,114.8858,30.4519
1247,2160A,自来水公司,晋城,112.85,35.5051
1248,1749A,太阳城,鞍山,123.011,41.0931
1249,1369A,唐家,珠海,113.628,22.4251
1250,3358A,临江路,成都,103.8458,30.6994
1251,2610A,州水务局,文山州,104.2533,23.3594
1252,1947A,沙湖旅游区,石嘴山,106.3394,38.817
1253,3684A,新建矿广场,七台河,130.864,45.883
1254,1430A,南泉,重庆,106.591,29.4272
1255,2230A,铁路,通化,125.9486,41.7381
1256,1050A,丛台公园,邯郸,114.4965,36.61981
1257,1302A,济南化工厂,济南,116.989,36.6872
1258,2376A,桐源党溪,抚州,116.2239,28.0797
1259,3428A,华庄,无锡,120.3142,31.4753
1260,2248A,双合村,双鸭山,131.1638,46.6572
1261,2574A,凉山州政府,凉山州,102.2689,27.8847
1262,1394A,江北云山西路子站,惠州,114.4103,23.1142
1263,1646A,福山环保局,烟台,121.2611,37.4967
1264,1972A,2号,平度,119.976,36.799
1265,2446A,职工中心,黄冈,114.9028,30.4742
1266,1266A,衢州学院,衢州,118.855,28.9745
1267,1518A,株冶医院,株洲,113.095,27.8867
1268,1592A,巴音孟克林场办事处,鄂尔多斯,109.9486,39.8261
1269,1844A,市图书馆,荆州,112.2551,30.3175
1270,3581A,满城区生态环境分局,保定,115.31981,38.95208
1271,1138A,平房东轻厂,哈尔滨,126.615,45.61
1272,1464A,纺织城,西安,109.06,34.2572
1273,1716A,市监测站,玉溪,102.5433,24.3603
1274,3453A,阳东陶然,阳江,112.0125,21.8749
1275,3325A,雍阳西道,天津,117.0365,39.3828
1276,3651A,旺旺集团,铜川,108.9543,34.8732
1277,2471A,赫山环保分局,益阳,112.3744,28.5819
1278,3523A,滨河新区,银川,106.5105,38.3856
1279,2017A,富林印务,诸暨,120.209,29.732
1280,2343A,老干部活动中心,景德镇,117.2111,29.2958
1281,3669A,左辅环卫站,安阳,114.4705,36.0637
1282,1163A,轧钢厂,苏州,120.596,31.3264
1283,2921A,树下王站,绍兴,120.7789,30.0033
1284,1741A,白羊墅,阳泉,113.6292,37.8531
1285,2215A,铁西工业园,辽阳,123.1417,41.2894
1286,3289A,方洲路,苏州,120.743,31.3188
1287,1035A,封龙山,石家庄,114.3541,37.9097
1288,3867A,平安区公安北苑,海东地区,102.0738,36.5056
1289,1361A,龙岗,深圳,114.24,22.7267
1290,1613A,万安,泉州,118.6663,24.9424
1291,3350A,滩子口,重庆,106.6479,29.0244
1292,2687A,地区环保局,吐鲁番地区,89.1673,42.9559
1293,1233A,云栖,杭州,120.088,30.1808
1294,2559A,巴中中学,巴中,106.7594,31.8531
1295,2885A,滨江中学,陇南,104.9338889,33.38256667
1296,1379A,华柏园,中山,113.3769,22.5211
1297,1957A,棉纺厂,库尔勒,86.2022,41.7192
1298,2179A,空港新区,运城,111.0414,35.1147
1299,2240A,环保局　,鸡西,130.962,45.2924
1300,1829A,高新区政府,焦作,113.2464,35.1764
1301,3566A,图书馆,大同,113.1186,40.2556
1302,1449A,关上,昆明,102.743,25.0124
1303,3186A,教育港,兰州,103.7583,36.1058
1304,3438A,红光山片区,乌鲁木齐,87.6162,43.8801
1305,2584A,龙岩子校,安顺,105.8853,26.2392
1306,3058A,银河街,赤峰,119.2654,42.0352
1307,3636A,英才小学,洛阳,112.4388,34.6781
1308,1130A,松北商大,哈尔滨,126.561,45.8167
1309,2456A,原169医院,衡阳,112.5328,26.9089
1310,2708A,市站,阿勒泰地区,88.1267,47.8515
1311,1854A,市二中,常德,111.6975,28.9703
1312,1002A,定陵,北京,116.17,40.2865
1313,2654A,监测站,张掖,100.4686,38.9467
1314,1148A,浦东川沙,上海,121.703,31.1907
1315,1474A,广运潭,西安,109.043,34.3274
1316,1726A,教育学院,大同,113.2711,40.0844
1317,1094A,如意水处理厂,呼和浩特,111.751,40.8369
1318,1346A,市五中,广州,113.261,23.105
1319,1672A,韶关学院,韶关,113.6734722,24.77908333
1320,1924A,新区管委会,铜川,108.9344,34.9058
1321,3661A,坝陵桥,太原,112.5667,37.8875
1322,2998A,胡沟管理处,连云港,119.3608,34.7519
1323,1218A,开发区管委会,盐城,120.225,33.3947
1324,3207A,市政府原办公楼,滁州,118.3117,32.3039
1325,3207A,市政府原办公楼,滁州,118.3117,32.3039
1326,3281A,延庆夏都,北京,115.9718,40.4529
1327,3533A,福绵环保局,玉林,110.0527,22.5893
1328,2353A,飞宇,新余,114.9831,27.8344
1329,3153A,民族大道182号,武汉,114.3877,30.4908
1330,3405A,新世纪学校,贵港,109.5886,23.1172
1331,2225A,一商场,四平,124.3711,43.1594
1332,3299A,白云竹料,广州,113.3472,23.3692
1333,2551A,达县机关宾馆,达州,107.5069,31.1956
1334,1888A,弄弄坪,攀枝花,101.68912,26.57098
1335,1371A,湾梁,佛山,113.134,23.0048
1336,2171A,锦纶小区,晋中,112.7549,37.7019
1337,2423A,沈家营,黄石,115.0625,30.2352
1338,1243A,南浦,温州,120.677,27.9939
1339,2569A,将军桥,甘孜州,101.9628,30.0506
1340,1821A,环保局,安阳,114.3931,36.0883
1341,3369A,开发区幼儿园,临沂,118.3977,35.0278
1342,1115A,旅顺,大连,121.25888889,38.808055556
1343,2189A,通辽宾馆,通辽,122.2603,43.6267
1344,1441A,鉴湖路,贵阳,106.6243,26.6266
1345,3430A,金坛城区,常州,119.5826,31.7245
1346,1587A,东河城环局,包头,110.0067,40.5905
1347,3302A,番禺大学城,广州,113.3942,23.0483
1348,2387A,迎宾馆,鹤壁,114.2878,35.7306
1349,2639A,世纪广场　,榆林,109.7456,38.2911
1350,1459A,西藏大学,拉萨,91.1774,29.6541
1351,2700A,市环境监测站,喀什地区,75.9435,39.4365
1352,1785A,文化广场　,牡丹江,129.6115,44.5782
1353,3500A,北湖一中,济宁,116.5814,35.3707
1354,1079A,路桥公司,邢台,114.5331,37.0964
1355,2320A,莆田市监测站,莆田,119.0018,25.4552
1356,1657A,人口学校,泰安,117.0881,36.1942
1357,1909A,嘉陵区环保局,南充,106.0642,30.7636
1358,3646A,胜利站,东营,118.4978,37.4623
1359,1140A,省农科院,哈尔滨,126.6206,45.6842
1360,3266A,崇明上实东滩,上海,121.8791,31.4662
1361,1012A,古城,北京,116.225,39.9279
1362,3592A,祥符区生态环境局,开封,114.4644,34.7556
1363,2338A,龙岩学院,龙岩,117.0151,25.0311
1364,2664A,南峰招待所（原起重机厂）,定西,104.6169,35.5975
1365,2916A,老干部局,池州,117.49,30.66
1366,3138A,武陵区永安(启用171130),常德,111.7153,29.0289
1367,1210A,钵池山,淮安,119.036,33.5981
1368,2284A,职业技术学院,淮北,116.7844,33.9461
1369,2536A,牛耳桥,乐山,103.7627,29.5844
1370,2862A,22中南校区,石家庄,114.5480556,38.03777778
1371,1356A,荔园,深圳,114.096,22.55
1372,1682A,环保局宿舍,湛江,110.4019,21.1997
1373,1934A,技工学校,宝鸡,107.1186,34.3739
1374,2408A,环境监测站　,商丘,115.6697,34.4286
1375,1228A,浙江农大,杭州,120.19,30.2692
1376,3291A,通州监测站,南通,121.067,32.062
1377,1806A,五七二七厂,九江,116.0174,29.6535
1378,1880A,高新区自来水公司,绵阳,104.6717,31.4656
1379,1426A,新山村,重庆,106.468,29.4892
1380,3415A,万载县环保局,宜春,114.4519,28.0828
1381,2561A,莲花山,资阳,104.6617,30.1366
1382,1898A,盐马路,自贡,104.7214,29.3586
1383,3035A,北滨河,兴安盟,122.0931,46.0707
1384,3361A,理工大学,乐山,103.7311,29.5628
1385,3613A,亚心广场,昌吉州,87.3095,44.0142
1386,2181A,开发区,忻州,112.7383,38.4519
1387,2433A,樊城新华路,襄阳,112.1392,32.0564
1388,2305A,一中,宿州,116.9677,33.6284
1389,3379A,鲅鱼圈市民活动中心,营口,122.1139,40.2278
1390,2631A,阿里地委,阿里地区,80.0895,32.5039
1391,1125A,甩湾子,长春,125.633,43.55
1392,1451A,西山森林公园,昆明,102.625,24.9624
1393,1703A,凤城街办,清远,113.0208,23.7106
1394,2503A,市农科院,钦州,108.6553,21.9508
1395,3577A,金山小学,唐山,118.43673,39.73809
1396,1071A,沧县城建局,沧州,116.8854,38.2991
1397,1323A,河医大,郑州,113.6356,34.7538
1398,2397A,环保局,许昌,113.8208,34.0314
1399,2649A,仙人崖,天水,106.005,34.3469
1400,1901A,东山公园,德阳,104.4219,31.1208
1401,1795A,科创中心,芜湖,118.37,31.4189
1402,2269A,公安局,大兴安岭地区,124.1303,50.4217
1403,2595A,市环保局,保山,99.1711,25.1328
1404,1089A,金胜,太原,112.488,37.7805
1405,1667A,耿井村,东营,118.5857,37.4442
1406,1919A,中华小区,咸阳,108.6761,34.3181
1407,1993A,张家港市监测站,张家港,120.526,31.874
1408,2202A,市环保监测站,锡林郭勒盟,116.1042,43.9317
1409,1287A,洪文,厦门,118.15138889,24.476666667
1410,1865A,八中,桂林,110.2869,25.2178
1411,1159A,仙林大学城,南京,118.907,32.105
1412,3148A,区人社局,眉山,103.8286,30.0561
1413,2400A,漯河大学,漯河,114.005,33.568
1414,3474A,大新区,鹤壁,114.2617,35.6822
1415,3726A,林业技术推广中心,日喀则,88.8781,29.2426
1416,1220A,宿迁学院,宿迁,118.293,33.9528
1417,2294A,安庆大学,安庆,116.9894,30.6145
1418,2872A,南湖区残联,嘉兴,120.7844444,30.7525
1419,3346A,安康,重庆,108.3872,31.1628
1420,2166A,平朔,朔州,112.44,39.3514
1421,2492A,跃进水库,湘西州,109.6414,28.2558
1422,1564A,韶山,湘潭,112.4876,27.9164
1423,1890A,炳草岗,攀枝花,101.7169,26.585
1424,2364A,气象台,赣州,114.9461,25.8481
1425,2616A,德宏州监测站,德宏州,98.5842,24.428
1426,1184A,城东财政所,扬州,119.46,32.3878
1427,1436A,草堂寺,成都,104.026,30.6544
1428,1762A,溪湖,本溪,123.7528,41.3369
1429,1056A,监测站,保定,115.5214,38.8707
1430,1308A,李沧区子站,青岛,120.3905,36.1851
1431,3045A,商州区中学,商洛,109.9643,33.8471
1432,1634A,气象站,淄博,117.9544,36.6377
1433,3371A,开发区人民医院,德州,116.3728,37.4403
1434,3623A,西乡,深圳,113.8953,22.5861
1435,2641A,环保监测大楼　,榆林,109.7336,38.2478
1436,1978A,莱州外经委,莱州,119.959,37.18
1437,2261A,新建　,七台河,130.8625,45.8194
1438,2513A,市中心血站,百色,106.6527,23.8844
1439,3587A,安新县电力局,雄安新区,115.9324,38.9338
1440,1081A,尖草坪,太原,112.522,37.8873
1441,1333A,吴家山,武汉,114.2131,30.6414
1442,1911A,丁字口,遵义,106.9222,27.6869
1443,3459A,地表水厂,衡水,115.5989,37.5491
1444,2711A,农水大厦,五家渠,87.5475,44.1756
1445,1205A,丹徒区监测站,镇江,119.43,32.1319
1446,2279A,谢家集区政府,淮南,116.8556,32.6028
1447,1151A,迈皋桥,南京,118.803,32.1083
1448,1403A,市监测站,南宁,108.321,22.8225
1449,3140A,武陵区长庚,常德,111.6625,29.0531
1450,2477A,零陵南津渡,永州,111.6217,26.2081
1451,1297A,石化,南昌,115.912,28.6131
1452,1875A,古亭山,柳州,109.4839,24.3158
1453,3012A,西山林语(启用161103),荆门,112.1908,31.03389
1454,2349A,市政府车库,萍乡,113.8447,27.6231
1455,1169A,虹桥,南通,120.86,32.0005
1456,2410A,睢阳区环保局　,商丘,115.6386,34.407
1457,1495A,七十四中学,乌鲁木齐,87.4171,43.8729
1458,1747A,松山路,赤峰,119.2719,42.0317
1459,3484A,行政中心,重庆,106.2628,29.32
1460,3210A,汴京公园,开封,114.3644,34.7964
1461,1367A,吉大,珠海,113.574,22.2611
1462,1619A,鲁南制药厂,临沂,118.2939,35.0622
1463,3356A,百安坝,重庆,108.4319,30.7555
1464,3608A,崇文塔,西咸新区,108.8558,34.4978
1465,3682A,济南四建,济南,116.9814,36.6819
1466,1300A,农科所,济南,116.93,36.67
1467,2374A,市气象局,宜春,114.3703,27.7914
1468,2626A,日喀则监测站,日喀则地区,88.8876,29.2718
1469,1772A,哈达湾,吉林,126.555,43.8875
1470,3426A,新华书店,淮安,118.8755,33.2894
1471,2246A,东山纸板厂,鹤岗,130.3172,47.3489
1472,2572A,邛海宾馆,凉山州,102.2714,27.8408
1473,1066A,离宫,承德,117.9384,41.0112
1474,1392A,河南岸金山湖子站,惠州,114.4183,23.0528
1475,1644A,西郊化工站,烟台,121.3181,37.5436
1476,1970A,人民广场子站,莱西,120.515,36.885
1477,1264A,环保大楼,衢州,118.871,28.9404
1478,1590A,东河鸿龙湾,包头,110.0377,40.5546
1479,1842A,点军区,宜昌,111.268,30.696
1480,1988A,昆山实验小学,昆山,120.953,31.388
1481,1136A,动力和平路,哈尔滨,126.646,45.7258
1482,3125A,娄家坡,安顺,105.8983,26.2481
1483,3451A,鼎湖凤凰,肇庆,112.5617,23.2083
1484,3703A,安钢职工学校,安阳,114.2917,36.095
1485,2271A,百货大楼,蚌埠,117.3575,32.9444
1486,3323A,青少年活动中心,张家口,115.2773,40.9724
1487,2015A,北苑,义乌,120.04,29.334
1488,2341A,宁德市监测站,宁德,119.5392,26.6611
1489,3667A,水利职院,运城,111.0283,35.0547
1490,1161A,南门,苏州,120.628,31.2864
1491,1413A,龙华路环保局宿舍,海口,110.33,20.0356
1492,2487A,电视发射台,娄底,111.9975,27.725
1493,3287A,富润路1号,镇江,119.3842,32.1976
1494,3539A,桂林洋子站,海口,110.5111,19.9736
1495,1033A,世纪公园,石家庄,114.5330556,38.01777778
1496,2359A,财苑宾馆,鹰潭,117.0281,28.2403
1497,1611A,涂山街,泉州,118.5819,24.9117
1498,3600A,虎峰,重庆,106.2339,29.5559
1499,2685A,新区,固原,106.2375,36.0211
1500,1757A,东洲区,抚顺,124.0383,41.8625
1501,2557A,南龛公园,巴中,106.7583,31.8475
1502,1377A,三水监测站,佛山,112.885,23.1572
1503,1629A,第二水厂,滨州,118.0018,37.3617
1504,1955A,乌尔禾区商贸楼,克拉玛依,85.6931,46.0872
1505,3692A,消防缸窑路中队,唐山,118.2045,39.6581
1506,1249A,城北水厂,湖州,120.1,30.8867
1507,1827A,市监测站　,焦作,113.261,35.235
1508,3564A,台州科技职业学院,台州,121.2568,28.6681
1509,3184A,市委党校,哈尔滨,126.6203,45.7219
1510,3436A,大丰高级中学,盐城,120.4279,33.205
1511,2256A,发电厂,佳木斯,130.3961,46.8267
1512,2582A,市一中,安顺,105.9278,26.255
1513,1980A,山东成山轮胎公司,荣成,122.41,37.161
1514,3308A,金湾,珠海,113.3494,22.0569
1515,3634A,宿州学院,宿州,116.9884,33.6305
1516,2454A,湖北民院,恩施州,109.5039,30.2989
1517,2706A,东门外小游园,塔城地区,82.9994,46.7432
1518,1274A,长江中路,合肥,117.25,31.8572
1519,1852A,金凤水库,岳阳,113.2117,29.355
1520,2074A,漳州三中,漳州,117.6569,24.5157
1521,2326A,三元区政府,三明,117.6028,26.2378
1522,1146A,青浦淀山湖,上海,120.978,31.0935
1523,1472A,草滩,西安,108.869,34.378
1524,1724A,大同大学,大同,113.3444,40.0917
1525,1018A,前进路,天津,117.202,39.0927
1526,1344A,沙坪,长沙,112.9958,28.3586
1527,3333A,第八中学,池州,117.5627,30.695
1528,1922A,党校,铜川,109.0656,35.0994
1529,2996A,市供电局,宿迁,118.283,33.965
1530,3531A,旅游学院,桂林,110.296,25.1253
1531,2351A,安源区政府,萍乡,113.865,27.6178
1532,2603A,市环保局,临沧,100.0869,23.8822
1533,1688A,健康路,茂名,110.9067,21.6669
1534,3403A,创业大厦,桂林,110.1764,25.2381
1535,2223A,农业园区,朝阳,120.3939,41.615
1536,3549A,龙凤新区,恩施土家族苗族自治州,109.5061,30.3772
1537,1043A,第一关,秦皇岛,119.7624,40.0181
1538,1621A,河东保险公司,临沂,118.4023,35.0896
1539,2695A,电视台,阿克苏地区,80.2828,41.1636
1540,3169A,太极体育中心,焦作,113.2725,35.2067
1541,3495A,锦屏中学(新增200108),济南,,
1542,1241A,市环境监测中心,宁波,121.524,29.8506
1543,2567A,州监测站,阿坝州,102.2218,31.9025
1544,1965A,JN子站,胶南,120.005,35.878
1545,3619A,龙柱,阳泉,113.617,37.8571
1546,1113A,傅家庄,大连,121.625,38.863888889
1547,2187A,市林业局,乌海,106.8089,39.6969
1548,2439A,竹园小学,荆门,112.2014,31.0483
1549,1259A,普陀东港,舟山,122.3094,29.9558
1550,1585A,市环境监测站,包头,109.8756,40.6532
1551,1837A,二  印,三门峡,111.1858,34.7917
1552,3300A,白云嘉禾,广州,113.2981,23.237
1553,1457A,市环保局,拉萨,91.1221,29.6747
1554,3194A,管委会,荆州,112.2747,30.3122
1555,1709A,西马,揭阳,116.3242,23.5486
1556,1783A,市环境监测站,齐齐哈尔,123.945,47.2988
1557,1329A,青山钢花,武汉,114.4272,30.6103
1558,3066A,九衢泉纯净水厂,德州,116.2714,37.4372
1559,3318A,清新太和,清远,112.9903,23.7403
1560,1907A,南充炼油厂,南充,106.1031,30.8217
1561,3644A,三金集团,淄博,117.8661,36.805
1562,2464A,市化工厂,邵阳,111.4908,27.2582
1563,3516A,金海六路,滨州,118.0917,37.694
1564,1010A,昌平镇,北京,116.23,40.1952
1565,2336A,龙岩市监测站,龙岩,117.0216,25.1035
1566,2662A,市环保局,庆阳,107.6364,35.7067
1567,2914A,苏山坪,巴中,106.7513889,31.87888889
1568,1999A,虹桥邮政,江阴,120.268,31.92
1569,1482A,四陆医院,西宁,101.834,36.5819
1570,2208A,长青街,阜新,121.6561,42.0186
1571,2282A,监测站,淮北,116.8008,33.975
1572,2534A,内江日报社,内江,105.0406,29.5822
1573,1028A,化工学校,石家庄,,
1574,1354A,麓湖,广州,113.281,23.1569
1575,1606A,新生街道,盘锦,121.835,41.1042
1576,1680A,湛江影剧院,湛江,110.3539,21.2706
1577,1932A,三陆医院,宝鸡,107.1906,34.3672
1578,2406A,气象站,南阳,112.5573,33.027
1579,1226A,下沙,杭州,120.348,30.3058
1580,1552A,桐木岭,贵阳,106.805,26.3003
1581,1804A,茅山头,九江,115.9581,29.7048
1582,3541A,第一中学子站,儋州,109.5726,19.5167
1583,2878A,聊大东校,聊城,116.0072,36.4343
1584,1698A,老城,河源,114.6892,23.7233
1585,3413A,广丰区教体局,上饶,118.1953,28.4401
1586,2498A,龙新,梧州,111.26,23.4794
1587,1896A,市环监站,泸州,105.4322,28.8833
1588,3033A,培训基地,乌鲁木齐,87.4651,43.4569
1589,3179A,官渡区博物馆,昆明,102.749,25.0119
1590,2431A,铁二处,十堰,110.8839,32.5714
1591,1768A,开发区,锦州,121.045,40.8333
1592,1251A,吉山新村,湖州,120.093,30.8617
1593,2303A,开发区,阜阳,115.8556,32.8603
1594,3377A,曲靖师范学院,曲靖,103.7444,25.5261
1595,3629A,世纪职校,西宁,101.8305,36.5786
1596,1123A,园林处,长春,125.325,43.8694
1597,2197A,集宁新区,乌兰察布,113.1306,40.9923
1598,1701A,马南垌,阳江,111.9494,21.865
1599,2069A,市运管处,周口,114.6546,33.5979
1600,1321A,四十七中,郑州,113.734,34.719
1601,2395A,油田物探公司,濮阳,115.0772,35.767
1602,2647A,豫源饭店,白银,104.1731,36.5458
1603,1467A,高新西区,西安,108.883,34.2303
1604,1793A,让胡路区,大庆,124.8648,46.6219
1605,2267A,党政办公中心,绥化,126.9636,46.6527
1606,2519A,来宾二中,来宾,109.2131,23.7208
1607,1087A,坞城,太原,112.57,37.8195
1608,1339A,雨花区环保局,长沙,112.9956,28.1442
1609,1665A,西城阳光环保公司,东营,118.5019,37.4658
1610,1917A,烟厂办公区,曲靖,103.8,25.5364
1611,1991A,兴福子站,常熟,120.721,31.671
1612,2200A,胜华新制药厂,兴安盟,122.0506,46.0703
1613,3274A,浦东惠南,上海,121.7965,31.0507
1614,3526A,吴航,福州,119.5189,25.9664
1615,1020A,天山路,天津,117.269,39.1337
1616,2672A,同仁县隆务镇,黄南州,102.0199,35.5102
1617,2292A,马山宾馆,安庆,117.0331111,30.51197222
1618,2544A,市委,广安,106.6303,30.4576
1619,2870A,市疾控中心,镇江,119.4369444,32.18888889
1620,1690A,嘉应大学,梅州,116.1278,24.3289
1621,3018A,唐尧大酒店,临汾,111.505,36.10139
1622,2164A,泽州一中,晋城,112.8252,35.4813
1623,2490A,涟钢,娄底,111.9561,27.7569
1624,1236A,龙赛医院,宁波,121.713,29.9572
1625,1562A,昭山,湘潭,113.0048,27.9153
1626,1814A,豫西宾馆,洛阳,112.4664,34.6869
